feature_set,model,threshold,PR_AUC,precision,recall,f1,TN,FP,FN,TP
Lean Features,Logistic Regression,0.3,0.5903003524915085,0.05318491032776747,0.8269230769230769,0.0999418942475305,3087,1531,18,86
Lean Features,Logistic Regression,0.35,0.5903003524915085,0.06887532693984307,0.7596153846153846,0.12629896083133493,3550,1068,25,79
Lean Features,Logistic Regression,0.4,0.5903003524915085,0.10052219321148825,0.7403846153846154,0.17701149425287357,3929,689,27,77
Lean Features,Logistic Regression,0.45,0.5903003524915085,0.15212981744421908,0.7211538461538461,0.25125628140703515,4200,418,29,75
Lean Features,Logistic Regression,0.5,0.5903003524915085,0.23432343234323433,0.6826923076923077,0.3488943488943489,4386,232,33,71
Lean Features,Random Forest,0.3,0.661730751610725,0.11057108140947752,0.875,0.19633225458468176,3886,732,13,91
Lean Features,Random Forest,0.35,0.661730751610725,0.1717171717171717,0.8173076923076923,0.2838063439065108,4208,410,19,85
Lean Features,Random Forest,0.4,0.661730751610725,0.27491408934707906,0.7692307692307693,0.4050632911392405,4407,211,24,80
Lean Features,Random Forest,0.45,0.661730751610725,0.35185185185185186,0.7307692307692307,0.475,4478,140,28,76
Lean Features,Random Forest,0.5,0.661730751610725,0.453416149068323,0.7019230769230769,0.5509433962264151,4530,88,31,73
Lean Features,Gradient Boosting,0.3,0.6451163920159844,0.7654320987654321,0.5961538461538461,0.6702702702702703,4599,19,42,62
Lean Features,Gradient Boosting,0.35,0.6451163920159844,0.75,0.5480769230769231,0.6333333333333333,4599,19,47,57
Lean Features,Gradient Boosting,0.4,0.6451163920159844,0.76,0.5480769230769231,0.6368715083798883,4600,18,47,57
Lean Features,Gradient Boosting,0.45,0.6451163920159844,0.7777777777777778,0.5384615384615384,0.6363636363636364,4602,16,48,56
Lean Features,Gradient Boosting,0.5,0.6451163920159844,0.8360655737704918,0.49038461538461536,0.6181818181818182,4608,10,53,51
Operation Features,Logistic Regression,0.3,0.5711845090516514,0.05259975816203144,0.8365384615384616,0.09897610921501707,3051,1567,17,87
Operation Features,Logistic Regression,0.35,0.5711845090516514,0.06751054852320675,0.7692307692307693,0.12412723041117145,3513,1105,24,80
Operation Features,Logistic Regression,0.4,0.5711845090516514,0.09771573604060914,0.7403846153846154,0.1726457399103139,3907,711,27,77
Operation Features,Logistic Regression,0.45,0.5711845090516514,0.14940239043824702,0.7211538461538461,0.24752475247524752,4191,427,29,75
Operation Features,Logistic Regression,0.5,0.5711845090516514,0.23202614379084968,0.6826923076923077,0.3463414634146341,4383,235,33,71
Operation Features,Random Forest,0.3,0.6610283165943909,0.1205298013245033,0.875,0.21187427240977882,3954,664,13,91
Operation Features,Random Forest,0.35,0.6610283165943909,0.1732776617954071,0.7980769230769231,0.2847341337907376,4222,396,21,83
Operation Features,Random Forest,0.4,0.6610283165943909,0.26755852842809363,0.7692307692307693,0.3970223325062035,4399,219,24,80
Operation Features,Random Forest,0.45,0.6610283165943909,0.37254901960784315,0.7307692307692307,0.4935064935064935,4490,128,28,76
Operation Features,Random Forest,0.5,0.6610283165943909,0.4550898203592814,0.7307692307692307,0.5608856088560885,4527,91,28,76
Operation Features,Gradient Boosting,0.3,0.644623600534441,0.7682926829268293,0.6057692307692307,0.6774193548387096,4599,19,41,63
Operation Features,Gradient Boosting,0.35,0.644623600534441,0.7532467532467533,0.5576923076923077,0.6408839779005525,4599,19,46,58
Operation Features,Gradient Boosting,0.4,0.644623600534441,0.7631578947368421,0.5576923076923077,0.6444444444444445,4600,18,46,58
Operation Features,Gradient Boosting,0.45,0.644623600534441,0.7777777777777778,0.5384615384615384,0.6363636363636364,4602,16,48,56
Operation Features,Gradient Boosting,0.5,0.644623600534441,0.8360655737704918,0.49038461538461536,0.6181818181818182,4608,10,53,51
